id,centro_formacion,nombre_curso,url_curso,fecha_inicio,fecha_fin,horario,horas,last_scraped
1,AFS Formación,Atención Sociosanitaria a Personas Dependientes en Instituciones Sociales,https://afsformacion.com/cursos/atencion-sociosanitaria-a-personas-dependientes-en-instituciones-sociales-5/,2025-08-01,No disponible,08:00 a 14:00,475,2025-07-24 17:42:19
2,AFS Formación,Operaciones Básicas de Restaurante y Bar,https://afsformacion.com/cursos/operaciones-basicas-de-restaurante-y-bar-4/,2025-08-01,No disponible,15:00 a 21:00,315,2025-07-24 17:42:19
3,AFS Formación,Ofimática,https://afsformacion.com/cursos/ofimatica-2/,2025-09-01,No disponible,15:00 a 21:00,125,2025-07-24 17:42:19
4,Aura Formación,PROCEDIMIENTOS BÁSICOS EN EL MARKETING DIGITAL Y REDES SOCIALES - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/-procedimientos-basicos--en-el-marketing-digital--y-redes-sociales----convocatoria-nacional-2024-/507.html,2026-01-08,2026-02-05,08:30-14:30,125,2025-07-24 17:42:19
5,Aura Formación,ACOMPAÑANTE DE TRANSPORTE ESCOLAR - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/acompanante-de-transporte-escolar----convocatoria-nacional-2024-/500.html,2026-01-15,2026-01-21,08:30-14:30,30,2025-07-24 17:42:19
6,Aura Formación,ADMINISTRACIÓN Y GESTIÓN DE PLATAFORMAS LMS MOODLE (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/administracion-y-gestion-de-plataformas-lms-moodle-ramon-y-cajal---convocatoria-fped-2024-/459.html,2025-05-05,2025-05-19,09:00 - 14:00,55,2025-07-24 17:42:19
7,Aura Formación,ATENCIÓN AL ALUMNADO CON NECESIDADES EDUCATIVAS ESPECIALES (ACNEE) EN CENTROS EDUCATIVOS (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/atencion-al-alumnado-con-necesidades-educativas-especiales-acnee-en-centros-educativos-ramon-y-cajal---convocatoria-fped-2024-/464.html,2025-06-06,2025-10-15,08:30 - 14:30,575,2025-07-24 17:42:19
8,Aura Formación,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/atencion-sociosanitaria-a-personas-dependientes-en-instituciones-sociales-ramon-y-cajal---convocatoria-fped-2024-/447.html,2025-05-12,2025-08-12,08:30 - 14:30,475,2025-07-24 17:42:19
9,Aura Formación,ATENCIÓN SOCIOSANITARIA A PERSONAS EN EL DOMICILIO (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/atencion-sociosanitaria-a-personas-en-el-domicilio-ramon-y-cajal---convocatoria-fped-2024-/445.html,2025-01-20,2025-05-27,08:30 - 14:30,625,2025-07-24 17:42:19
10,Aura Formación,CONTABILIDAD FINANCIERA - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/contabilidad-financiera---convocatoria-nacional-2024-/505.html,2026-01-08,2026-01-30,08:30-14:30,100,2025-07-24 17:42:19
11,Aura Formación,CREACIÓN Y GESTIÓN DE MICROEMPRESAS (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/creacion-y-gestion-de-microempresas-ramon-y-cajal---convocatoria-fped-2024-/466.html,2025-04-01,2025-08-05,08:30-14:30,545,2025-07-24 17:42:19
12,Aura Formación,GESTIÓN FISCAL - IRPF - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/gestion-fiscal---irpf----convocatoria-nacional-2024-/504.html,2026-02-02,2026-02-12,08:30-14:30,50,2025-07-24 17:42:19
13,Aura Formación,HABILIDADES DIRECTIVAS Y GESTIÓN DE EQUIPOS - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/habilidades-directivas-y-gestion-de-equipos---convocatoria-nacional-2024-/516.html,2025-11-17,2025-12-01,08:30-14:30,65,2025-07-24 17:42:19
14,Aura Formación,"HABILITACION PARA LA DOCENCIA EN GRADOS A,B Y C DEL SISTEMA DE FORMACION PROFESIONAL (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.",https://www.auraformacion.es/formacion/habilitacion-para-la-docencia-en-grados-a_b-y-c-del-sistema-de-formacion-profesional-ramon-y-cajal---convocatoria-fped-2024-/465.html,2025-09-04,2025-11-27,08:30 - 14:30,405,2025-07-24 17:42:19
15,Aura Formación,INGLÉS A2 (RAMÓN Y CAJAL) (INCLUYE EXAMEN OFICIAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/ingles-a2-ramon--y-cajal-incluye-examen-oficial---convocatoria-fped-2024-/451.html,2025-09-29,2025-11-14,09:00 - 14:00,175,2025-07-24 17:42:19
16,Aura Formación,INSERCIÓN LABORAL DE PERSONAS CON DISCAPACIDAD (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/insercion-laboral-de-personas-con-discapacidad-ramon-y-cajal---convocatoria-fped-2024-/449.html,2025-01-16,2025-04-16,08:30-14:30,495,2025-07-24 17:42:19
17,Aura Formación,LOGÍSTICA SANITARIA EN SITUACIONES DE ATENCIÓN A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/logistica-sanitaria-en-situaciones-de-atencion-a-multiples-victimas--y-catastrofes----convocatoria-nacional-2024-/498.html,2025-11-26,2025-12-19,08:30-14:30,100,2025-07-24 17:42:19
18,Aura Formación,ORGANIZACIÓN DE EVENTOS Y PROTOCOLO - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/organizacion-de-eventos-y-protocolo---convocatoria-nacional-2024-/519.html,2025-12-02,2025-12-17,08:30-14:30,65,2025-07-24 17:42:19
19,Aura Formación,PROMOCIÓN E INTERVENCIÓN SOCIOEDUCATIVA CON PERSONAS CON DISCAPACIDAD (RAMÓN Y CAJAL) (GRUPO 1) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/promocion-e-intervencion-socioeducativa-con-personas-con-discapacidad-ramon-y-cajal-grupo-1---convocatoria-fped-2024-/460.html,2025-01-13,2025-04-16,08:30 - 14:30,475,2025-07-24 17:42:19
20,Aura Formación,PROMOCIÓN E INTERVENCIÓN SOCIOEDUCATIVA CON PERSONAS CON DISCAPACIDAD (RAMÓN Y CAJAL) (GRUPO 2) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/promocion-e-intervencion-socioeducativa-con-personas-con-discapacidad-ramon-y-cajal-grupo-2---convocatoria-fped-2024-/461.html,2025-09-02,2025-12-02,08:30 - 14:30,475,2025-07-24 17:42:19
21,Aura Formación,PROMOCIÓN PARA LA IGUALDAD EFECTIVA DE MUJERES Y HOMBRES (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/promocion-para-la-igualdad-efectiva-de-mujeres-y-hombres-ramon-y-cajal---convocatoria-fped-2024-/463.html,2025-07-21,2025-11-24,08:30-14:30,595,2025-07-24 17:42:19
22,Aura Formación,TRÁFICO DE MERCANCÍAS POR CARRETERA (RAMÓN Y CAJAL) - CONVOCATORIA FPED 2024.,https://www.auraformacion.es/formacion/trafico-de-mercancias-por-carretera-ramon-y-cajal---convocatoria-fped-2024-/462.html,2025-05-23,2025-09-26,08:30 - 14:30,545,2025-07-24 17:42:19
23,Aura Formación,TRANSPORTE DE VIAJEROS CON CARACTERÍSTICAS ESPECIALES - CONVOCATORIA NACIONAL 2024.,https://www.auraformacion.es/formacion/transporte-de-viajeros-con-caracteristicas-especiales----convocatoria-nacional-2024-/499.html,2026-01-08,2026-01-14,08:30-14:30,30,2025-07-24 17:42:19
24,Focan,Mont Mant Electrico,https://isbs.es/formacion/cursos-desempleados/isbs-mont-mant-electrico-puente-inclusion/,2025-01-30,2025-12-09,No disponible,0,2025-07-24 17:42:19
25,Focan,Actividades Administrativas,https://isbs.es/formacion/cursos-desempleados/isbs-actividades-administrativas-puente-inclusion/,2025-01-30,2025-12-09,No disponible,0,2025-07-24 17:42:19
26,Focan,Oper Fontaneria Calefaccin Ventilacion Domestica,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife/tf-oper-fontaneria-calefaccin-ventilacion-domestica/,2025-07-23,2025-10-29,No disponible,0,2025-07-24 17:42:19
27,Focan,Ingles B1,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-ingles-b1/,2025-07-30,2025-10-30,No disponible,0,2025-07-24 17:42:19
28,Focan,Mont Mant Instal Climatizacion Ventilacion Extraccion,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife/tf-mont-mant-instal-climatizacion-ventilacion-extraccion/,2025-07-31,2025-11-04,No disponible,0,2025-07-24 17:42:19
29,Focan,Tenerife2 Preparacion Pedidos Estatal,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-ocupados/tenerife-arona/tf2-preparacion-pedidos-estatal/,2025-08-04,2025-08-14,No disponible,0,2025-07-24 17:42:19
30,Focan,Procedimiento Marketing Digital Redes Sociales,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-procedimiento-marketing-digital-redes-sociales/,2025-10-02,2025-10-24,No disponible,0,2025-07-24 17:42:19
31,Focan,Gestion Rrhh Optimo Organizacion,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-gestion-rrhh-optimo-organizacion/,2025-11-07,2025-12-26,No disponible,0,2025-07-24 17:42:19
32,Focan,Liderazgo Direccion Organizaciones,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-liderazgo-direccion-organizaciones/,2025-11-13,2025-12-09,No disponible,0,2025-07-24 17:42:19
33,Focan,Plan Igualdad Desarrollo Implantacion Evaluacion,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-plan-igualdad-desarrollo-implantacion-evaluacion/,2025-11-25,2025-12-12,No disponible,0,2025-07-24 17:42:19
34,Focan,Direccion Equipos Coaching,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-direccion-equipos-coaching/,2025-12-01,2025-12-19,No disponible,0,2025-07-24 17:42:19
35,Focan,Trabajo Equipo,https://focan.es/nuestros-cursos/formacion-gratuita/cursos-para-desempleados/tenerife-arona/sede2-trabajo-equipo/,2025-12-04,2025-12-17,No disponible,0,2025-07-24 17:42:19
36,Grupo Lincea,TNF ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,https://grupolincea.es/tnf-actividades-administrativas-en-la-relacion-con-el-cliente/,No disponible,No disponible,15:00 a 21:00,0,2025-07-24 17:42:19
37,Grupo Lincea,TNF ACTIVIDADES AUXILIARES DE COMERCIO,https://grupolincea.es/tnf-actividades-auxiliares-de-comercio/,No disponible,No disponible,POR DETERMINAR,0,2025-07-24 17:42:19
38,Grupo Lincea,TNF ACTIVIDADES DE VENTA,https://grupolincea.es/tnf-actividades-de-venta/,2025-11-24,No disponible,8.30 – 14.30,0,2025-07-24 17:42:19
39,Grupo Lincea,TNF FORMACIÓN DE FORMADORES EN E,https://grupolincea.es/tnf-formacion-de-formadores-en-e-learning/,No disponible,No disponible,8:30 – 14:30,0,2025-07-24 17:42:19
40,Grupo Lincea,TNF GESTIÓN CONTABLE Y GESTIÓN ADMINISTRATIVA PARA AUDITORÍA,https://grupolincea.es/tnf-gestion-contable-y-gestion-administrativa-para-auditoria-2/,No disponible,No disponible,Por determinar,0,2025-07-24 17:42:19
41,Grupo Lincea,TNF GESTIÓN INTEGRADA DE RRHH,https://grupolincea.es/tnf-gestion-integrada-de-rrhh/,No disponible,No disponible,8:30 a 14:30,0,2025-07-24 17:42:19
42,Grupo Lincea,TNF INGLÉS A1,https://grupolincea.es/tnf-ingles-a1/,No disponible,No disponible,POR DETERMINAR,0,2025-07-24 17:42:19
43,Grupo Lincea,TNF OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS,https://grupolincea.es/tnf-operaciones-auxiliares-de-servicios-administrativos/,No disponible,No disponible,8:30 a 14:30,0,2025-07-24 17:42:19
44,ICSE,INGLÉS B2,https://www.icse.es/cursos/64,2025-09-08,2025-11-27,No disponible,0,2025-07-24 17:42:19
46,ICSE,COMPETENCIAS DIGITALES AVANZADAS,https://www.icse.es/cursos/65,2025-09-11,2025-10-10,No disponible,0,2025-07-24 17:42:19
